estacionID,fecha,nivel
CNDCA,2023-04-12T00:00:00,35.890
PLZCA,2023-04-12T00:00:00,1.100
CL2CM,2023-04-12T00:00:00,1.850
CL3CM,2023-04-12T00:00:00,1.360
CLLCM,2023-04-12T00:00:00,-0.600
DJLCM,2023-04-12T00:00:00,2.350
MADCM,2023-04-12T00:00:00,0.520
PN2CM,2023-04-12T00:00:00,1.550
PNTCM,2023-04-12T00:00:00,3.250
ACACP,2023-04-12T00:00:00,392.380
ANGCP,2023-04-12T00:00:00,520.220
BOQCP,2023-04-12T00:00:00,481.360
CACCP,2023-04-12T00:00:00,50.710
CASCP,2023-04-12T00:00:00,622.170
CHMCP,2023-04-12T00:00:00,563.110
DESCP,2023-04-12T00:00:00,26.700
ELNCP,2023-04-12T00:00:00,59.690
ESCCP,2023-04-12T00:00:00,85.400
GRICP,2023-04-12T00:00:00,186.500
HUECP,2023-04-12T00:00:00,21.290
HUICP,2023-04-12T00:00:00,19.180
JAPCP,2023-04-12T00:00:00,581.830
JSBCP,2023-04-12T00:00:00,607.670
LACCP,2023-04-12T00:00:00,137.900
LFLCP,2023-04-12T00:00:00,482.390
MALCP,2023-04-12T00:00:00,468.800
MAPCP,2023-04-12T00:00:00,58.200
PENCP,2023-04-12T00:00:00,85.820
PIJCP,2023-04-12T00:00:00,42.680
REFCP,2023-04-12T00:00:00,589.430
REVCP,2023-04-12T00:00:00,537.310
SAACP,2023-04-12T00:00:00,2.540
SAYCP,2023-04-12T00:00:00,231.320
SCRCP,2023-04-12T00:00:00,2103.510
SDOCP,2023-04-12T00:00:00,459.000
SMICP,2023-04-12T00:00:00,537.470
SNACP,2023-04-12T00:00:00,231.930
TAMCP,2023-04-12T00:00:00,299.400
TPICP,2023-04-12T00:00:00,15.820
TUXCP,2023-04-12T00:00:00,494.020
YAMCP,2023-04-12T00:00:00,326.830
CL2CH,2023-04-12T00:00:00,2.580
CNDCH,2023-04-12T00:00:00,1.010
GRCCH,2023-04-12T00:00:00,1.860
IGNCH,2023-04-12T00:00:00,2.930
JMNCH,2023-04-12T00:00:00,0.000
TCNCH,2023-04-12T00:00:00,1.880
URECH,2023-04-12T00:00:00,1.920
ACSGJ,2023-04-12T00:00:00,0.000
AMCGJ,2023-04-12T00:00:00,0.350
ANSGJ,2023-04-12T00:00:00,0.140
BEGGJ,2023-04-12T00:00:00,0.000
BRAGJ,2023-04-12T00:00:00,5.950
CEYGJ,2023-04-12T00:00:00,0.150
CSTGJ,2023-04-12T00:00:00,0.000
CYUGJ,2023-04-12T00:00:00,0.020
ECBGJ,2023-04-12T00:00:00,0.020
ECHGJ,2023-04-12T00:00:00,0.000
ECLGJ,2023-04-12T00:00:00,0.180
IALGJ,2023-04-12T00:00:00,1825.320
JCRGJ,2023-04-12T00:00:00,1.120
LADGJ,2023-04-12T00:00:00,0.320
MRKGJ,2023-04-12T00:00:00,0.060
PERGJ,2023-04-12T00:00:00,0.070
SLCGJ,2023-04-12T00:00:00,1.980
SLMGJ,2023-04-12T00:00:00,0.360
SLSGJ,2023-04-12T00:00:00,1889.710
SLVGJ,2023-04-12T00:00:00,4.800
ARSHD,2023-04-12T00:00:00,0.220
ATCHD,2023-04-12T00:00:00,0.380
CDCHD,2023-04-12T00:00:00,1.570
CDEHD,2023-04-12T00:00:00,0.330
CDFHD,2023-04-12T00:00:00,2.350
CENHD,2023-04-12T00:00:00,1.890
CPEHD,2023-04-12T00:00:00,0.000
CSTHD,2023-04-12T00:00:00,2.930
CTEHD,2023-04-12T00:00:00,0.600
RESHD,2023-04-12T00:00:00,0.990
RTIHD,2023-04-12T00:00:00,0.720
RTTHD,2023-04-12T00:00:00,1.810
AJJJL,2023-04-12T00:00:00,0.100
ATEJL,2023-04-12T00:00:00,0.410
ATQJL,2023-04-12T00:00:00,1.480
BCSJL,2023-04-12T00:00:00,-0.240
BLNJL,2023-04-12T00:00:00,0.400
BOQJL,2023-04-12T00:00:00,0.480
CALJL,2023-04-12T00:00:00,0.130
CIHJL,2023-04-12T00:00:00,0.500
CORJL,2023-04-12T00:00:00,17.710
CULJL,2023-04-12T00:00:00,0.580
CXTJL,2023-04-12T00:00:00,0.320
ELCJL,2023-04-12T00:00:00,0.800
LDBJL,2023-04-12T00:00:00,0.480
LGLJL,2023-04-12T00:00:00,65.140
MALJL,2023-04-12T00:00:00,1521.050
RAMJL,2023-04-12T00:00:00,2.150
SCRJL,2023-04-12T00:00:00,1.000
SGRJL,2023-04-12T00:00:00,0.000
SJDJL,2023-04-12T00:00:00,0.040
ZAPJL,2023-04-12T00:00:00,0.600
ZULJL,2023-04-12T00:00:00,3.910
ATOMX,2023-04-12T00:00:00,39.630
GDLMX,2023-04-12T00:00:00,2299.640
PMEMX,2023-04-12T00:00:00,0.330
SB2MX,2023-04-12T00:00:00,46.090
SBBMX,2023-04-12T00:00:00,2561.000
SLBMX,2023-04-12T00:00:00,23.590
TESMX,2023-04-12T00:00:00,0.350
TJCMX,2023-04-12T00:00:00,81.480
TMCMX,2023-04-12T00:00:00,64.870
EGIMC,2023-04-12T00:00:00,2.100
ALUMR,2023-04-12T00:00:00,9.180
AMCMR,2023-04-12T00:00:00,9.300
CRDMR,2023-04-12T00:00:00,0.300
CUAMR,2023-04-12T00:00:00,9.920
CXXMR,2023-04-12T00:00:00,0.720
ESTMR,2023-04-12T00:00:00,4.460
PERMR,2023-04-12T00:00:00,0.180
TEMMR,2023-04-12T00:00:00,1.620
TICMR,2023-04-12T00:00:00,0.020
XICMR,2023-04-12T00:00:00,1.650
YAHMR,2023-04-12T00:00:00,0.190
ZCTMR,2023-04-12T00:00:00,0.500
ACANR,2023-04-12T00:00:00,0.000
CHPNR,2023-04-12T00:00:00,1.620
GADNR,2023-04-12T00:00:00,1.160
GAINR,2023-04-12T00:00:00,1.220
GAVNR,2023-04-12T00:00:00,3.560
JMANR,2023-04-12T00:00:00,0.670
LESNR,2023-04-12T00:00:00,1.620
MOLNR,2023-04-12T00:00:00,0.470
PAJNR,2023-04-12T00:00:00,0.210
ROMNR,2023-04-12T00:00:00,1.060
RUINR,2023-04-12T00:00:00,0.420
BOCNL,2023-04-12T00:00:00,0.600
CABNL,2023-04-12T00:00:00,0.580
CAMNL,2023-04-12T00:00:00,1.500
CCHNL,2023-04-12T00:00:00,156.050
CDRNL,2023-04-12T00:00:00,0.640
CPRNL,2023-04-12T00:00:00,266.820
PABNL,2023-04-12T00:00:00,0.880
PAMNL,2023-04-12T00:00:00,0.780
CSPOX,2023-04-12T00:00:00,0.720
DPSOX,2023-04-12T00:00:00,55.860
JACOX,2023-04-12T00:00:00,34.040
MAROX,2023-04-12T00:00:00,130.840
NARPB,2023-04-12T00:00:00,1.470
PAPOX,2023-04-12T00:00:00,5.460
STDOX,2023-04-12T00:00:00,0.880
UCFOX,2023-04-12T00:00:00,0.200
BAIPB,2023-04-12T00:00:00,0.700
STLPB,2023-04-12T00:00:00,4.460
TYAPB,2023-04-12T00:00:00,0.650
AJTSL,2023-04-12T00:00:00,3.570
BLMSL,2023-04-12T00:00:00,31.300
GANSL,2023-04-12T00:00:00,263.190
MICSL,2023-04-12T00:00:00,0.380
NRJSL,2023-04-12T00:00:00,0.350
PUJSL,2023-04-12T00:00:00,0.670
RQTSL,2023-04-12T00:00:00,2.740
STRSL,2023-04-12T00:00:00,0.500
SVTSL,2023-04-12T00:00:00,-1.140
TBLSL,2023-04-12T00:00:00,137.620
TMISL,2023-04-12T00:00:00,12.200
TMTSL,2023-04-12T00:00:00,112.510
ACTSI,2023-04-12T00:00:00,1.000
AL2SI,2023-04-12T00:00:00,1.740
BCBSI,2023-04-12T00:00:00,0.000
CHXSI,2023-04-12T00:00:00,0.000
GD2SI,2023-04-12T00:00:00,0.290
IXPSI,2023-04-12T00:00:00,2.150
JNASI,2023-04-12T00:00:00,3.360
LD2SI,2023-04-12T00:00:00,5.540
LDCSI,2023-04-12T00:00:00,235.750
QLTSI,2023-04-12T00:00:00,0.000
RAVSI,2023-04-12T00:00:00,0.000
RSRSI,2023-04-12T00:00:00,0.000
SCRSI,2023-04-12T00:00:00,1.600
SJNSI,2023-04-12T00:00:00,0.000
SN2SI,2023-04-12T00:00:00,1.720
SQRSI,2023-04-12T00:00:00,7.000
TORSI,2023-04-12T00:00:00,0.260
ZOPSI,2023-04-12T00:00:00,0.400
CZNSO,2023-04-12T00:00:00,0.000
BDCTB,2023-04-12T00:00:00,11.640
EMUTB,2023-04-12T00:00:00,0.530
EPOTB,2023-04-12T00:00:00,0.420
GABTB,2023-04-12T00:00:00,0.630
GONTB,2023-04-12T00:00:00,4.200
MACTB,2023-04-12T00:00:00,1.710
OXOTB,2023-04-12T00:00:00,34.000
PNVTB,2023-04-12T00:00:00,2.150
PUYTB,2023-04-12T00:00:00,25.110
SAMTB,2023-04-12T00:00:00,12.940
SJOCP,2023-04-12T00:00:00,19.780
TEATB,2023-04-12T00:00:00,33.630
ABSTP,2023-04-12T00:00:00,31.810
AHLTP,2023-04-12T00:00:00,3.880
BALTP,2023-04-12T00:00:00,0.660
BR1TP,2023-04-12T00:00:00,10.550
CORTP,2023-04-12T00:00:00,0.370
ENNTP,2023-04-12T00:00:00,1.090
ERCTP,2023-04-12T00:00:00,47.500
LSRTP,2023-04-12T00:00:00,1.120
MAGTP,2023-04-12T00:00:00,1.700
MGSTP,2023-04-12T00:00:00,20.310
PADTP,2023-04-12T00:00:00,142.040
PDMTP,2023-04-12T00:00:00,140.570
PILTP,2023-04-12T00:00:00,140.860
PJMTP,2023-04-12T00:00:00,433.670
PVLTP,2023-04-12T00:00:00,528.050
RFRTP,2023-04-12T00:00:00,1.530
RSPTP,2023-04-12T00:00:00,75.530
SBNTP,2023-04-12T00:00:00,1.170
SDATP,2023-04-12T00:00:00,42.640
SGBTP,2023-04-12T00:00:00,2.690
SLMTP,2023-04-12T00:00:00,2.100
SLZTP,2023-04-12T00:00:00,110.020
TMOTP,2023-04-12T00:00:00,98.340
TMPTP,2023-04-12T00:00:00,0.700
TMSTP,2023-04-12T00:00:00,0.300
VGRTP,2023-04-12T00:00:00,127.080
HMTTL,2023-04-12T00:00:00,0.000
TLXTL,2023-04-12T00:00:00,0.100
ACTVC,2023-04-12T00:00:00,181.360
AGDVC,2023-04-12T00:00:00,2.300
ARCVC,2023-04-12T00:00:00,14.120
CCLVC,2023-04-12T00:00:00,1.690
CHMVC,2023-04-12T00:00:00,0.580
CHYVC,2023-04-12T00:00:00,20.420
CTTVC,2023-04-12T00:00:00,8.810
ENRVC,2023-04-12T00:00:00,4.210
GARVC,2023-04-12T00:00:00,4.560
HGOVC,2023-04-12T00:00:00,7.120
IDOVC,2023-04-12T00:00:00,84.530
JCRVC,2023-04-12T00:00:00,1.500
JDCVC,2023-04-12T00:00:00,2.980
LCEVC,2023-04-12T00:00:00,4.000
LIBVC,2023-04-12T00:00:00,47.980
LPEVC,2023-04-12T00:00:00,2.980
MDTVC,2023-04-12T00:00:00,58.540
MNZVC,2023-04-12T00:00:00,0.530
OLVVC,2023-04-12T00:00:00,6.600
PNCVC,2023-04-12T00:00:00,0.060
PRCVC,2023-04-12T00:00:00,38.750
PSNVC,2023-04-12T00:00:00,0.710
PTGVC,2023-04-12T00:00:00,104.940
SBTVC,2023-04-12T00:00:00,37.760
TMOVC,2023-04-12T00:00:00,2.600
TMPVC,2023-04-12T00:00:00,1.300
TOMVC,2023-04-12T00:00:00,1.170
TRRVC,2023-04-12T00:00:00,87.220
VAZVC,2023-04-12T00:00:00,10.300
B24215,2023-04-12T00:00:00,0.820
LMIGJ,2023-04-12T00:00:00,1.150
LMDGJ,2023-04-12T00:00:00,1.780
RSSMX,2023-04-12T00:00:00,0.820


